Record_ID,Customer_ID_record,Canonical_Customer_ID,Customer_Name,Email,Phone,City,Address,Product_ID,Product_Name,Category,Seller_Name,Quantity,Price_per_item,Discount(%),Shipping_Charges,Final_Price,Payment_Method,Delivery_Status,Order_Date,Customer_Rating,Coupon_Code,Device_Used
R0021,CR1770,C1049,Kumar Mehta,kumarmehta@ecom.in,9.1655E+11,Bangalore,"Flat 145, Block E, Bangalore",P3504,Lamp,Electronics,EcomStore,1,9171.38,10.72,112,8300.21,Debit Card,Cancelled,07-08-2025,2,FESTIVE20,Laptop
R0022,CR5892,C1003,Deepa Iyer,deepaiyer@gmail.com,9.17855E+11,Mumbai,"Flat 294, Block B, Mumbai",P3145,Yoga Mat,Groceries,EcomStore,3,1546.83,23.16,78,3643.75,Net Banking,Pending,10-07-2025,3,NEWUSER10,Mobile
R0023,CR5777,C1060,Diya K.,diyak@mail.in,9.1741E+11,Noida,"Flat 151, Block C, Noida",P2935,Shirt,Beauty,DealHub,1,13472.47,16.85,92,11294.36,Debit Card,Delivered,19-03-2025,5,NEWUSER10,Laptop
R0024,CR6126,C1002,Sneha P.,snehap@gmail.com,9.18715E+11,Lucknow,"Flat 350, Block C, Lucknow",P3878,Cookbook,Electronics,MegaMart,4,12131.78,23.71,46,37067.34,Debit Card,Cancelled,02-08-2025,5,FESTIVE20,Laptop
R0025,CR8943,C1039,Sanjay I.,sanjayi@ecom.in,9.16247E+11,Noida,"Flat 273, Block B, Noida",P1125,Shirt,Electronics,ShopKart,1,8985.17,21.98,66,7076.23,Credit Card,Delivered,15-02-2025,4,FREESHIP,Laptop
R0026,CR1005,C1065,K. Mehta,kmehta@mail.in,9.18378E+11,Noida,"Flat 289, Block E, Noida",P3709,Cookbook,Groceries,MegaMart,3,7419.59,26.27,61,16472.39,Credit Card,Cancelled,19-03-2025,5,,Tablet
R0027,CR2828,C1010,D. Kumar,dkumar@mail.in,9.18543E+11,Bangalore,"Flat 173, Block D, Bangalore",P2668,Lamp,Clothing,MegaMart,4,6496.46,17.69,112,21500.94,Net Banking,Cancelled,26-01-2025,,,Laptop
R0028,CR6256,C1033,Sneha Patel,snehapatel@gmail.com,9.17112E+11,Lucknow,"Flat 130, Block D, Lucknow",P1320,Cookbook,Electronics,ShopKart,1,9015.45,16.79,93,7594.76,Credit Card,Delivered,14-02-2025,5,,Tablet
R0029,CR2248,C1065,Deepa Iyer,deepaiyer@ecom.in,9.19766E+11,Bangalore,"Flat 379, Block B, Bangalore",P3621,Shirt,Electronics,ShopKart,2,6008.19,25.41,38,9001.02,UPI,Delivered,01-06-2025,1,NEWUSER10,Mobile
R0030,CR7028,C1030,S. Iyer,siyer@gmail.com,9.17839E+11,Delhi,"Flat 478, Block C, Delhi",P1419,Cookbook,Groceries,ShopKart,1,10663.31,24.46,32,8087.06,Net Banking,Pending,10-02-2025,5,FREESHIP,Laptop
R0031,CR1827,C1042,Sanjay I.,sanjayi@mail.in,9.19335E+11,Hyderabad,"Flat 282, Block C, Hyderabad",P3116,Shirt,Books,MegaMart,2,5269.36,10.68,22,9435.18,Debit Card,Pending,18-08-2025,1,NEWUSER10,Tablet
R0032,CR3708,C1046,Deepa Iyer,deepaiyer@mail.in,9.19059E+11,Noida,"Flat 214, Block C, Noida",P2430,Face Cream,Groceries,ShopKart,1,2649.7,9.66,56,2449.74,Credit Card,Cancelled,23-06-2025,3,,Tablet
R0033,CR5757,C1025,Amith S.,amiths@gmail.com,9.18658E+11,Pune,"Flat 386, Block B, Pune",P1474,Yoga Mat,Books,ShopKart,4,3524.15,16.31,24,11821.44,Net Banking,Pending,24-05-2025,1,NEWUSER10,Mobile
R0034,CR6490,C1046,Kumar M.,kumarm@gmail.com,9.18246E+11,Kolkata,"Flat 257, Block E, Kolkata",P1989,Wireless Headphones,Books,DealHub,3,5370.93,16.71,48,13468.34,COD,Delivered,19-08-2025,2,NEWUSER10,Laptop
R0035,CR7722,C1050,Kumar M.,kumarm@shop.in,9.1688E+11,Bangalore,"Flat 366, Block B, Bangalore",P3134,Shirt,Clothing,EcomStore,1,6238.17,18.79,66,5132.02,UPI,Cancelled,22-08-2025,1,FREESHIP,Mobile
R0036,CR5841,C1001,Ravi Kumar,ravikumar@mail.in,9.19265E+11,Kolkata,"Flat 432, Block B, Kolkata",P3054,Yoga Mat,Electronics,EcomStore,1,592.68,9.54,35,571.14,COD,Pending,01-02-2025,5,,Tablet
R0037,CR8368,C1021,Ravindra K.,ravindrak@ecom.in,9.17046E+11,Pune,"Flat 364, Block A, Pune",P3761,Lamp,Books,MegaMart,3,12037.86,15.63,114,30583.03,Credit Card,Pending,08-09-2025,2,NEWUSER10,Mobile
R0038,CR7136,C1052,D. Kumar,dkumar@shop.in,9.17811E+11,Pune,"Flat 34, Block A, Pune",P2700,Face Cream,Groceries,MegaMart,4,3255.03,5.27,26,12359.96,Credit Card,Cancelled,27-06-2025,2,,Mobile
R0039,CR8715,C1019,Amit Sharma,amitsharma@shop.in,9.17165E+11,Bangalore,"Flat 282, Block E, Bangalore",P1148,Wireless Headphones,Books,DealHub,4,10841.88,12.43,53,38029.94,Debit Card,Cancelled,22-08-2025,,NEWUSER10,Mobile
R0040,CR4004,C1016,Ravindra K.,ravindrak@mail.in,9.17926E+11,Delhi,"Flat 217, Block E, Delhi",P1938,Yoga Mat,Electronics,EcomStore,3,12322.71,24.99,101,27830.79,Debit Card,Cancelled,12-05-2025,3,FREESHIP,Mobile
R0041,CR5430,C1006,Diya K.,diyak@gmail.com,9.17808E+11,Lucknow,"Flat 25, Block B, Lucknow",P2112,Shirt,Books,MegaMart,1,14172.08,5.99,9,13332.17,Credit Card,Cancelled,22-05-2025,2,FREESHIP,Laptop
R0042,CR9684,C1041,Amith S.,amiths@ecom.in,9.19883E+11,Bangalore,"Flat 108, Block D, Bangalore",P2121,Wireless Headphones,Home Decor,EcomStore,4,6727.28,15.11,38,22881.15,Credit Card,Delivered,25-06-2025,5,FESTIVE20,Mobile
R0043,CR3033,C1067,Deepa Iyer,deepaiyer@shop.in,9.17111E+11,Chennai,"Flat 236, Block A, Chennai",P1271,Shirt,Electronics,MegaMart,2,6382.95,15.53,132,10915.36,Credit Card,Pending,03-01-2025,5,FESTIVE20,Laptop
R0044,CR8274,C1056,Kumar M.,kumarm@shop.in,9.16833E+11,Chennai,"Flat 427, Block D, Chennai",P1709,Lamp,Books,MegaMart,1,14839.94,23.58,3,11343.68,UPI,Delivered,21-06-2025,3,NEWUSER10,Laptop
R0045,CR2380,C1010,Amith S.,amiths@gmail.com,9.18702E+11,Hyderabad,"Flat 378, Block A, Hyderabad",P2596,Wireless Headphones,Clothing,EcomStore,2,7469.56,29.91,2,10472.83,UPI,Pending,15-08-2025,1,NEWUSER10,Laptop
R0046,CR7183,C1076,Amith S.,amiths@mail.in,9.19896E+11,Lucknow,"Flat 124, Block C, Lucknow",P2199,Yoga Mat,Clothing,MegaMart,1,3458.71,22.08,80,2775.03,Debit Card,Delivered,26-03-2025,3,,Laptop
R0047,CR9780,C1011,Sanjay Iyer,sanjayiyer@gmail.com,9.18312E+11,Kolkata,"Flat 133, Block C, Kolkata",P1556,Yoga Mat,Electronics,EcomStore,3,12422.09,8.22,106,34308.98,COD,Pending,18-07-2025,4,FESTIVE20,Laptop
R0048,CR9213,C1049,Amit Sharma,amitsharma@shop.in,9.16426E+11,Noida,"Flat 224, Block B, Noida",P2435,Shirt,Groceries,ShopKart,1,11874.34,9.34,67,10832.28,UPI,Delivered,17-06-2025,2,FESTIVE20,Mobile
R0049,CR3896,C1055,S. Iyer,siyer@mail.in,9.17821E+11,Mumbai,"Flat 430, Block B, Mumbai",P1515,Face Cream,Books,ShopKart,1,2621.63,24.87,74,2043.63,Net Banking,Pending,22-04-2025,3,FREESHIP,Tablet
R0050,CR7342,C1002,Sanjay I.,sanjayi@mail.in,9.17349E+11,Bangalore,"Flat 320, Block A, Bangalore",P1792,Shirt,Clothing,EcomStore,4,7203.51,29.2,144,20544.34,COD,Delivered,15-08-2025,3,FESTIVE20,Laptop
R0051,CR1778,C1050,Deepa Iyer,deepaiyer@gmail.com,9.16381E+11,Pune,"Flat 117, Block B, Pune",P2367,Wireless Headphones,Home Decor,ShopKart,4,7076.06,22.01,81,22155.48,UPI,Delivered,01-09-2025,4,FESTIVE20,Mobile
R0052,CR9619,C1048,Amith S.,amiths@gmail.com,9.1838E+11,Delhi,"Flat 233, Block E, Delhi",P2949,Face Cream,Home Decor,DealHub,2,6074.46,8.32,102,11240.13,Debit Card,Pending,15-02-2025,2,FESTIVE20,Tablet
R0053,CR8179,C1011,A. Sharma,asharma@ecom.in,9.17762E+11,Mumbai,"Flat 348, Block D, Mumbai",P2341,Wireless Headphones,Books,DealHub,4,8304.37,25.43,126,24896.27,UPI,Cancelled,10-09-2025,,FREESHIP,Laptop
R0054,CR4453,C1019,Sanjay Iyer,sanjayiyer@gmail.com,9.16779E+11,Mumbai,"Flat 454, Block B, Mumbai",P1661,Cookbook,Electronics,EcomStore,3,1406.59,15.08,92,3675.43,Credit Card,Cancelled,21-01-2025,2,NEWUSER10,Mobile
R0055,CR1525,C1077,Kumar M.,kumarm@gmail.com,9.1956E+11,Kolkata,"Flat 426, Block C, Kolkata",P2394,Yoga Mat,Groceries,ShopKart,4,5880.94,16.65,20,19627.05,Credit Card,Cancelled,04-08-2025,,FREESHIP,Laptop
R0056,CR6724,C1009,R. Kumar,rkumar@ecom.in,9.17076E+11,Pune,"Flat 145, Block C, Pune",P3040,Shirt,Clothing,EcomStore,1,333.65,19.71,44,311.89,UPI,Pending,22-03-2025,,,Laptop
R0057,CR7262,C1034,Deepa Iyer,deepaiyer@shop.in,9.19095E+11,Chennai,"Flat 204, Block E, Chennai",P3352,Face Cream,Beauty,DealHub,4,12990.4,18.95,147,42261.88,Debit Card,Pending,09-02-2025,5,,Laptop
R0058,CR7812,C1004,Sneha P.,snehap@gmail.com,9.18375E+11,Noida,"Flat 306, Block E, Noida",P2208,Wireless Headphones,Clothing,EcomStore,4,8077.23,8.14,125,29803.97,COD,Pending,08-07-2025,2,NEWUSER10,Mobile
R0059,CR6105,C1063,Sanjay I.,sanjayi@shop.in,9.16735E+11,Lucknow,"Flat 303, Block A, Lucknow",P1587,Wireless Headphones,Electronics,MegaMart,4,10212.4,10.39,141,36746.33,COD,Delivered,26-09-2025,,,Laptop
R0060,CR3875,C1032,Sneha P.,snehap@ecom.in,9.19628E+11,Pune,"Flat 19, Block B, Pune",P3444,Face Cream,Books,ShopKart,3,5759.95,12.42,88,15221.69,COD,Cancelled,12-01-2025,2,FREESHIP,Tablet
R0061,CR6445,C1045,K. Mehta,kmehta@mail.in,9.17071E+11,Lucknow,"Flat 304, Block B, Lucknow",P3501,Shirt,Home Decor,ShopKart,2,1811.99,8.72,47,3354.97,COD,Cancelled,15-04-2025,3,,Tablet
R0062,CR5445,C1074,Kumar M.,kumarm@mail.in,9.19903E+11,Bangalore,"Flat 290, Block E, Bangalore",P1963,Cookbook,Beauty,MegaMart,3,13958.17,18.31,135,34342.29,Debit Card,Pending,02-02-2025,1,NEWUSER10,Laptop
R0063,CR6752,C1041,Amit Sharma,amitsharma@ecom.in,9.19618E+11,Pune,"Flat 263, Block A, Pune",P2195,Cookbook,Clothing,EcomStore,3,238.24,20.95,20,584.99,Net Banking,Delivered,15-09-2025,2,,Laptop
R0064,CR1987,C1070,A. Sharma,asharma@mail.in,9.19256E+11,Mumbai,"Flat 403, Block D, Mumbai",P2462,Yoga Mat,Home Decor,EcomStore,1,11105.73,26.57,118,8272.94,COD,Delivered,16-06-2025,5,FREESHIP,Tablet
R0065,CR6189,C1040,D. Kumar,dkumar@shop.in,9.19834E+11,Kolkata,"Flat 425, Block A, Kolkata",P3506,Shirt,Groceries,EcomStore,4,10920.21,19.46,108,35288.55,Net Banking,Delivered,04-01-2025,3,NEWUSER10,Mobile
R0066,CR4374,C1054,Amit Sharma,amitsharma@mail.in,9.18259E+11,Bangalore,"Flat 342, Block B, Bangalore",P3774,Shirt,Clothing,MegaMart,1,14933.11,16.16,115,12634.92,Net Banking,Pending,05-04-2025,5,NEWUSER10,Tablet
R0067,CR5576,C1022,Kumar Mehta,kumarmehta@shop.in,9.1613E+11,Chennai,"Flat 468, Block D, Chennai",P3368,Face Cream,Groceries,ShopKart,4,9429.07,7.23,31,35020.39,Credit Card,Delivered,20-06-2025,2,NEWUSER10,Laptop
R0068,CR8629,C1005,Kumar M.,kumarm@gmail.com,9.1822E+11,Hyderabad,"Flat 466, Block C, Hyderabad",P1405,Wireless Headphones,Groceries,DealHub,1,5987.43,17.53,48,4985.83,Debit Card,Pending,13-02-2025,3,FESTIVE20,Laptop
R0069,CR3529,C1007,Ravindra K.,ravindrak@mail.in,9.16247E+11,Noida,"Flat 450, Block A, Noida",P3300,Lamp,Electronics,DealHub,3,7408.52,20.16,53,17797.89,COD,Cancelled,09-03-2025,,NEWUSER10,Mobile
R0070,CR7406,C1079,R. Kumar,rkumar@mail.in,9.16475E+11,Mumbai,"Flat 266, Block A, Mumbai",P1641,Lamp,Books,MegaMart,1,9368.57,12.43,82,8286.06,Credit Card,Cancelled,09-05-2025,4,FESTIVE20,Laptop
R0071,CR8898,C1020,Kumar Mehta,kumarmehta@mail.in,9.18696E+11,Pune,"Flat 231, Block B, Pune",P2508,Shirt,Groceries,DealHub,1,5442.7,18.14,13,4468.39,COD,Delivered,05-06-2025,,FREESHIP,Laptop
R0072,CR5719,C1051,Sneha P.,snehap@ecom.in,9.17111E+11,Chennai,"Flat 181, Block B, Chennai",P3020,Cookbook,Beauty,ShopKart,3,4134.6,21.15,148,9928.4,Net Banking,Cancelled,26-05-2025,,,Laptop
R0073,CR7230,C1007,Sneha P.,snehap@shop.in,9.1811E+11,Mumbai,"Flat 314, Block D, Mumbai",P3279,Cookbook,Beauty,EcomStore,3,9958.44,27.38,78,21773.46,Credit Card,Cancelled,13-08-2025,3,NEWUSER10,Mobile
R0074,CR7511,C1007,Sanjay Iyer,sanjayiyer@mail.in,9.18416E+11,Lucknow,"Flat 314, Block D, Lucknow",P2674,Shirt,Books,EcomStore,3,2940.89,9.35,4,8001.75,COD,Pending,08-06-2025,2,FESTIVE20,Tablet
R0075,CR6784,C1058,A. Sharma,asharma@gmail.com,9.19381E+11,Kolkata,"Flat 190, Block B, Kolkata",P2801,Cookbook,Beauty,DealHub,3,14703.56,20.05,94,35360.49,Net Banking,Pending,08-01-2025,2,FREESHIP,Mobile
R0076,CR8003,C1028,S. Iyer,siyer@mail.in,9.19169E+11,Bangalore,"Flat 122, Block A, Bangalore",P1779,Face Cream,Clothing,ShopKart,1,3471.74,29.46,45,2493.97,Net Banking,Cancelled,22-06-2025,3,NEWUSER10,Laptop
R0077,CR1448,C1003,Sanjay Iyer,sanjayiyer@shop.in,9.18019E+11,Bangalore,"Flat 191, Block C, Bangalore",P1022,Cookbook,Groceries,EcomStore,4,9617.11,24.03,110,29334.47,Debit Card,Pending,01-08-2025,4,NEWUSER10,Tablet
R0078,CR2124,C1057,A. Sharma,asharma@ecom.in,9.18429E+11,Pune,"Flat 234, Block B, Pune",P1313,Lamp,Beauty,ShopKart,2,3196.71,28.95,120,4662.52,Net Banking,Cancelled,23-03-2025,,,Tablet
R0079,CR7643,C1003,Sneha Patel,snehapatel@ecom.in,9.17237E+11,Pune,"Flat 488, Block E, Pune",P3249,Lamp,Groceries,DealHub,4,11954.12,7.32,118,44434.31,Net Banking,Delivered,24-03-2025,5,,Laptop
R0080,CR2283,C1019,R. Kumar,rkumar@shop.in,9.16092E+11,Bangalore,"Flat 432, Block E, Bangalore",P1739,Lamp,Electronics,EcomStore,1,1511.29,10.52,46,1398.3,UPI,Delivered,13-06-2025,1,NEWUSER10,Laptop
R0081,CR9895,C1004,Kumar Mehta,kumarmehta@ecom.in,9.19833E+11,Delhi,"Flat 350, Block E, Delhi",P3757,Face Cream,Books,ShopKart,3,14122.05,11.48,45,37547.52,Debit Card,Cancelled,05-05-2025,4,NEWUSER10,Mobile
R0082,CR1631,C1009,Sneha Patel,snehapatel@shop.in,9.19118E+11,Noida,"Flat 182, Block D, Noida",P1187,Face Cream,Beauty,DealHub,1,14357.9,6.72,107,13500.05,Debit Card,Pending,07-06-2025,3,FREESHIP,Laptop
R0083,CR7164,C1068,Kumar Mehta,kumarmehta@mail.in,9.16455E+11,Chennai,"Flat 196, Block B, Chennai",P3010,Lamp,Clothing,DealHub,4,8315.14,8.2,148,30681.19,Debit Card,Pending,14-08-2025,1,NEWUSER10,Laptop
R0084,CR2633,C1069,Ravindra K.,ravindrak@ecom.in,9.18064E+11,Mumbai,"Flat 117, Block D, Mumbai",P1894,Yoga Mat,Electronics,EcomStore,2,8506.1,18.08,60,13996.39,COD,Pending,07-09-2025,,NEWUSER10,Mobile
R0085,CR7519,C1078,S. Iyer,siyer@shop.in,9.17578E+11,Bangalore,"Flat 125, Block D, Bangalore",P1343,Lamp,Beauty,EcomStore,2,14675.31,24.85,48,22104.99,COD,Pending,14-04-2025,4,FESTIVE20,Tablet
R0086,CR9676,C1071,S. Iyer,siyer@ecom.in,9.19242E+11,Delhi,"Flat 42, Block D, Delhi",P3274,Lamp,Beauty,EcomStore,1,6081.24,7.34,50,5684.88,UPI,Pending,24-08-2025,4,,Mobile
R0087,CR6108,C1020,Amith S.,amiths@ecom.in,9.19336E+11,Lucknow,"Flat 486, Block A, Lucknow",P3267,Face Cream,Home Decor,DealHub,4,12341.59,12.83,109,43141.66,UPI,Delivered,16-07-2025,1,FREESHIP,Mobile
R0088,CR1587,C1029,Sanjay Iyer,sanjayiyer@shop.in,9.168E+11,Chennai,"Flat 227, Block E, Chennai",P1264,Shirt,Groceries,MegaMart,2,10711.59,12.86,138,18806.16,Debit Card,Cancelled,21-09-2025,2,FESTIVE20,Tablet
R0089,CR7344,C1019,Kumar Mehta,kumarmehta@gmail.com,9.1978E+11,Kolkata,"Flat 176, Block A, Kolkata",P3884,Shirt,Books,MegaMart,3,3958.83,5.78,124,11314.03,Debit Card,Pending,08-03-2025,4,FREESHIP,Tablet
R0090,CR3597,C1013,Ravi Kumar,ravikumar@mail.in,9.19907E+11,Chennai,"Flat 302, Block D, Chennai",P3019,Shirt,Electronics,EcomStore,1,11869.02,21.62,114,9416.94,Credit Card,Pending,27-07-2025,3,FESTIVE20,Laptop
R0091,CR8155,C1013,Sneha Patel,snehapatel@gmail.com,9.16146E+11,Pune,"Flat 432, Block A, Pune",P1082,Lamp,Books,EcomStore,2,10549.87,25.99,70,15685.92,Credit Card,Cancelled,25-07-2025,4,FREESHIP,Tablet
R0092,CR3479,C1029,Sneha P.,snehap@gmail.com,9.18107E+11,Noida,"Flat 443, Block A, Noida",P2731,Wireless Headphones,Beauty,DealHub,4,13183.47,13.26,85,45826.37,Credit Card,Cancelled,16-07-2025,5,FESTIVE20,Mobile
R0093,CR4740,C1050,Deepa Iyer,deepaiyer@ecom.in,9.16157E+11,Noida,"Flat 324, Block C, Noida",P1976,Yoga Mat,Electronics,DealHub,1,10477.87,7.06,75,9813.13,Credit Card,Cancelled,22-04-2025,5,FREESHIP,Laptop
R0094,CR6808,C1012,Sneha Patel,snehapatel@ecom.in,9.1814E+11,Lucknow,"Flat 87, Block A, Lucknow",P2936,Cookbook,Beauty,MegaMart,2,13629.23,10.97,105,24373.21,Credit Card,Delivered,03-01-2025,,FREESHIP,Mobile
R0095,CR4628,C1000,Sneha P.,snehap@gmail.com,9.18888E+11,Pune,"Flat 382, Block A, Pune",P2800,Cookbook,Electronics,ShopKart,1,1884.81,13.63,40,1667.91,COD,Cancelled,11-03-2025,5,FREESHIP,Laptop
R0096,CR4808,C1075,A. Sharma,asharma@mail.in,9.19137E+11,Kolkata,"Flat 158, Block E, Kolkata",P3478,Face Cream,Beauty,MegaMart,2,1894.42,14.6,126,3361.67,Net Banking,Pending,19-05-2025,4,,Mobile
R0097,CR8980,C1078,Sanjay I.,sanjayi@gmail.com,9.17698E+11,Noida,"Flat 39, Block D, Noida",P1770,Shirt,Groceries,EcomStore,1,13556.31,6.66,143,12796.46,Debit Card,Delivered,12-09-2025,3,FREESHIP,Mobile
R0098,CR2141,C1032,S. Patel,spatel@gmail.com,9.16977E+11,Bangalore,"Flat 429, Block A, Bangalore",P3021,Yoga Mat,Groceries,DealHub,4,12016.03,25.56,78,35856.93,Credit Card,Cancelled,08-07-2025,3,,Laptop
R0099,CR7980,C1029,Amit Sharma,amitsharma@shop.in,9.18862E+11,Bangalore,"Flat 427, Block C, Bangalore",P1125,Wireless Headphones,Electronics,ShopKart,2,12737.66,18.28,115,20933.43,Net Banking,Pending,04-01-2025,1,NEWUSER10,Laptop
R0100,CR3352,C1012,Ravindra K.,ravindrak@ecom.in,9.18349E+11,Chennai,"Flat 170, Block D, Chennai",P3693,Shirt,Clothing,DealHub,1,14763.39,12.21,125,13085.78,Net Banking,Delivered,04-06-2025,5,NEWUSER10,Mobile
R0101,CR4835,C1023,R. Kumar,rkumar@gmail.com,9.19251E+11,Chennai,"Flat 300, Block C, Chennai",P1358,Shirt,Books,ShopKart,4,8828.17,29.99,140,24862.41,Debit Card,Cancelled,19-04-2025,5,NEWUSER10,Tablet
R0102,CR8166,C1054,S. Patel,spatel@ecom.in,9.19258E+11,Pune,"Flat 149, Block C, Pune",P2510,Shirt,Home Decor,ShopKart,4,4281.36,26.93,11,12524.56,Credit Card,Cancelled,26-03-2025,4,,Laptop
R0103,CR6442,C1058,Sneha Patel,snehapatel@shop.in,9.19373E+11,Bangalore,"Flat 175, Block D, Bangalore",P1902,Cookbook,Books,DealHub,3,1817.11,26.35,80,4094.9,Credit Card,Delivered,08-01-2025,3,FREESHIP,Laptop
R0104,CR7144,C1014,S. Patel,spatel@gmail.com,9.17194E+11,Noida,"Flat 152, Block C, Noida",P1695,Lamp,Electronics,MegaMart,3,14860.08,10.02,25,40138.3,Credit Card,Cancelled,03-07-2025,1,,Mobile
